ID,Label,Category
Abba 2,Abba 2,Person
Abba 4,Abba 4,Person
Abba 5,Abba 5,Person
Abba 6,Abba 6,Person
Abba 7,Abba 7,Person
Abba 8,Abba 8,Person
Abonis 1,Abonis 1,Person
Acca 1,Acca 1,Person
Acca 2,Acca 2,Person
Acca 4,Acca 4,Person
Acca 5,Acca 5,Person
Acca 6,Acca 6,Person
Acca 7,Acca 7,Person
Acca 8,Acca 8,Person
Adda 4,Adda 4,Person
Addan 1,Addan 1,Person
Adriod 1,Adriod 1,Person
Æbane 1,Æbane 1,Person
Æbbe 3,Æbbe 3,Person
Ædda 1,Ædda 1,Person
Æffa 1,Æffa 1,Person
Ælberht 1,Ælberht 1,Person
Ælbred 1,Ælbred 1,Person
Ælbwald 1,Ælbwald 1,Person
Ældred 1,Ældred 1,Person
Ældred 2,Ældred 2,Person
Ælfflæd 5,Ælfflæd 5,Person
Ælfflæd 7,Ælfflæd 7,Person
Ælfflæd 8,Ælfflæd 8,Person
Ælfgyth 1,Ælfgyth 1,Person
Ælfgyth 2,Ælfgyth 2,Person
Ælfheah 19,Ælfheah 19,Person
Ælfheah 4,Ælfheah 4,Person
Ælfhere 2,Ælfhere 2,Person
Ælfhere 4,Ælfhere 4,Person
Ælfhere 9,Ælfhere 9,Person
Ælfhun 1,Ælfhun 1,Person
Ælfric 4,Ælfric 4,Person
Ælfric 5,Ælfric 5,Person
Ælfric 6,Ælfric 6,Person
Ælfric 9,Ælfric 9,Person
Ælfsige 6,Ælfsige 6,Person
Ælfstan 1,Ælfstan 1,Person
Ælfstan 10,Ælfstan 10,Person
Ælfstan 11,Ælfstan 11,Person
Ælfstan 2,Ælfstan 2,Person
Ælfstan 25,Ælfstan 25,Person
Ælfstan 3,Ælfstan 3,Person
Ælfstan 5,Ælfstan 5,Person
Ælfstan 6,Ælfstan 6,Person
Ælfstan 7,Ælfstan 7,Person
Ælfstan 8,Ælfstan 8,Person
Ælfstan 9,Ælfstan 9,Person
Ælfthryth 3,Ælfthryth 3,Person
Ælfwald 10,Ælfwald 10,Person
Ælfwald 11,Ælfwald 11,Person
Ælfwald 8,Ælfwald 8,Person
Ælfweard 3,Ælfweard 3,Person
Ælfwig 1,Ælfwig 1,Person
Ælfwine 8,Ælfwine 8,Person
Ælfwynn 2,Ælfwynn 2,Person
Ælla 1,Ælla 1,Person
Ælred 1,Ælred 1,Person
Ælric 1,Ælric 1,Person
Ælwytha 1,Ælwytha 1,Person
Æmele 1,Æmele 1,Person
Ænna 1,Ænna 1,Person
Ænund 1,Ænund 1,Person
Æsca 1,Æsca 1,Person
Æscberht 1,Æscberht 1,Person
Æscburg 1,Æscburg 1,Person
Æscheard 1,Æscheard 1,Person
Æscmund 1,Æscmund 1,Person
Æscred 1,Æscred 1,Person
Æscwald 1,Æscwald 1,Person
Æscwald 2,Æscwald 2,Person
Æscwald 3,Æscwald 3,Person
Æscwald 4,Æscwald 4,Person
Æscwine 1,Æscwine 1,Person
Æscwulf 2,Æscwulf 2,Person
Æse 1,Æse 1,Person
Æssica 1,Æssica 1,Person
Æthel 1,Æthel 1,Person
Æthelbald 10,Æthelbald 10,Person
Æthelbald 11,Æthelbald 11,Person
Æthelbald 12,Æthelbald 12,Person
Æthelbald 13,Æthelbald 13,Person
Æthelbald 15,Æthelbald 15,Person
Æthelbald 2,Æthelbald 2,Person
Æthelbald 3,Æthelbald 3,Person
Æthelbald 4,Æthelbald 4,Person
Æthelbald 6,Æthelbald 6,Person
Æthelberht 12,Æthelberht 12,Person
Æthelberht 3,Æthelberht 3,Person
Æthelberht 4,Æthelberht 4,Person
Æthelberht 5,Æthelberht 5,Person
Æthelberht 6,Æthelberht 6,Person
Æthelberht 7,Æthelberht 7,Person
Æthelberht 9,Æthelberht 9,Person
Æthelburg 3,Æthelburg 3,Person
Æthelburg 5,Æthelburg 5,Person
Æthelburg 6,Æthelburg 6,Person
Æthelburg 7,Æthelburg 7,Person
Æthelburg 8,Æthelburg 8,Person
Æthelflæd 4,Æthelflæd 4,Person
Æthelflæd 5,Æthelflæd 5,Person
Æthelfrith 10,Æthelfrith 10,Person
Æthelfrith 11,Æthelfrith 11,Person
Æthelfrith 12,Æthelfrith 12,Person
Æthelfrith 3,Æthelfrith 3,Person
Æthelfrith 4,Æthelfrith 4,Person
Æthelfrith 5,Æthelfrith 5,Person
Æthelfrith 6,Æthelfrith 6,Person
Æthelfrith 7,Æthelfrith 7,Person
Æthelfrith 8,Æthelfrith 8,Person
Æthelfrith 9,Æthelfrith 9,Person
Æthelgar 1,Æthelgar 1,Person
Æthelgar 2,Æthelgar 2,Person
Æthelgeard 1,Æthelgeard 1,Person
Æthelgifu 4,Æthelgifu 4,Person
Æthelheah 1,Æthelheah 1,Person
Æthelheah 10,Æthelheah 10,Person
Æthelheah 11,Æthelheah 11,Person
Æthelheah 12,Æthelheah 12,Person
Æthelheah 13,Æthelheah 13,Person
Æthelheah 2,Æthelheah 2,Person
Æthelheah 3,Æthelheah 3,Person
Æthelheah 4,Æthelheah 4,Person
Æthelheah 5,Æthelheah 5,Person
Æthelheah 6,Æthelheah 6,Person
Æthelheah 7,Æthelheah 7,Person
Æthelheah 8,Æthelheah 8,Person
Æthelheah 9,Æthelheah 9,Person
Æthelheard 1,Æthelheard 1,Person
Æthelheard 10,Æthelheard 10,Person
Æthelheard 13,Æthelheard 13,Person
Æthelheard 14,Æthelheard 14,Person
Æthelheard 15,Æthelheard 15,Person
Æthelheard 16,Æthelheard 16,Person
Æthelheard 17,Æthelheard 17,Person
Æthelheard 18,Æthelheard 18,Person
Æthelheard 19,Æthelheard 19,Person
Æthelheard 2,Æthelheard 2,Person
Æthelheard 20,Æthelheard 20,Person
Æthelheard 21,Æthelheard 21,Person
Æthelheard 3,Æthelheard 3,Person
Æthelheard 4,Æthelheard 4,Person
Æthelheard 5,Æthelheard 5,Person
Æthelheard 6,Æthelheard 6,Person
Æthelheard 7,Æthelheard 7,Person
Æthelheard 8,Æthelheard 8,Person
Æthelhelm 2,Æthelhelm 2,Person
Æthelhelm 5,Æthelhelm 5,Person
Æthelhelm 6,Æthelhelm 6,Person
Æthelhelm 7,Æthelhelm 7,Person
Æthelhelm 8,Æthelhelm 8,Person
Æthelhelm 9,Æthelhelm 9,Person
Æthelhere 4,Æthelhere 4,Person
Æthelhere 5,Æthelhere 5,Person
Æthelhere 6,Æthelhere 6,Person
Æthelhere 8,Æthelhere 8,Person
Æthelhun 10,Æthelhun 10,Person
Æthelhun 11,Æthelhun 11,Person
Æthelhun 12,Æthelhun 12,Person
Æthelhun 13,Æthelhun 13,Person
Æthelhun 14,Æthelhun 14,Person
Æthelhun 15,Æthelhun 15,Person
Æthelhun 18,Æthelhun 18,Person
Æthelhun 4,Æthelhun 4,Person
Æthelhun 5,Æthelhun 5,Person
Æthelhun 7,Æthelhun 7,Person
Æthelhun 8,Æthelhun 8,Person
Æthelhun 9,Æthelhun 9,Person
Æthellen 1,Æthellen 1,Person
Æthelmær 4,Æthelmær 4,Person
Æthelmær 5,Æthelmær 5,Person
Æthelmod 1,Æthelmod 1,Person
Æthelmod 2,Æthelmod 2,Person
Æthelmod 3,Æthelmod 3,Person
Æthelmod 4,Æthelmod 4,Person
Æthelmod 5,Æthelmod 5,Person
Æthelmod 6,Æthelmod 6,Person
Æthelmod 7,Æthelmod 7,Person
Æthelmund 1,Æthelmund 1,Person
Æthelmund 10,Æthelmund 10,Person
Æthelmund 11,Æthelmund 11,Person
Æthelmund 12,Æthelmund 12,Person
Æthelmund 13,Æthelmund 13,Person
Æthelmund 2,Æthelmund 2,Person
Æthelmund 3,Æthelmund 3,Person
Æthelmund 6,Æthelmund 6,Person
Æthelmund 7,Æthelmund 7,Person
Æthelmund 8,Æthelmund 8,Person
Æthelmund 9,Æthelmund 9,Person
Æthelnoth 11,Æthelnoth 11,Person
Æthelnoth 12,Æthelnoth 12,Person
Æthelnoth 13,Æthelnoth 13,Person
Æthelnoth 14,Æthelnoth 14,Person
Æthelnoth 15,Æthelnoth 15,Person
Æthelnoth 18,Æthelnoth 18,Person
Æthelnoth 4,Æthelnoth 4,Person
Æthelnoth 6,Æthelnoth 6,Person
Æthelnoth 7,Æthelnoth 7,Person
Æthelnoth 8,Æthelnoth 8,Person
Æthelred 1,Æthelred 1,Person
Æthelred 10,Æthelred 10,Person
Æthelred 11,Æthelred 11,Person
Æthelred 12,Æthelred 12,Person
Æthelred 13,Æthelred 13,Person
Æthelred 14,Æthelred 14,Person
Æthelred 15,Æthelred 15,Person
Æthelred 16,Æthelred 16,Person
Æthelred 18,Æthelred 18,Person
Æthelred 19,Æthelred 19,Person
Æthelred 2,Æthelred 2,Person
Æthelred 20,Æthelred 20,Person
Æthelred 4,Æthelred 4,Person
Æthelred 5,Æthelred 5,Person
Æthelred 6,Æthelred 6,Person
Æthelred 9,Æthelred 9,Person
Æthelred Mucel 1,Æthelred Mucel 1,Person
Æthelric 11,Æthelric 11,Person
Æthelric 12,Æthelric 12,Person
Æthelric 13,Æthelric 13,Person
Æthelric 14,Æthelric 14,Person
Æthelric 4,Æthelric 4,Person
Æthelric 5,Æthelric 5,Person
Æthelric 7,Æthelric 7,Person
Æthelric 8,Æthelric 8,Person
Æthelric 9,Æthelric 9,Person
Æthelscic 1,Æthelscic 1,Person
Æthelstan 1,Æthelstan 1,Person
Æthelstan 10,Æthelstan 10,Person
Æthelstan 11,Æthelstan 11,Person
Æthelstan 12,Æthelstan 12,Person
Æthelstan 13,Æthelstan 13,Person
Æthelstan 14,Æthelstan 14,Person
Æthelstan 26,Æthelstan 26,Person
Æthelstan 3,Æthelstan 3,Person
Æthelstan 6,Æthelstan 6,Person
Æthelstan 7,Æthelstan 7,Person
Æthelstan 8,Æthelstan 8,Person
Æthelstan 9,Æthelstan 9,Person
Æthelswith 1,Æthelswith 1,Person
Æthelswith 2,Æthelswith 2,Person
Æthelswith 3,Æthelswith 3,Person
Æthelswith 5,Æthelswith 5,Person
Æthelthryth 3,Æthelthryth 3,Person
Æthelthryth 4,Æthelthryth 4,Person
Ætheluch 1,Ætheluch 1,Person
Æthelwald 10,Æthelwald 10,Person
Æthelwald 13,Æthelwald 13,Person
Æthelwald 16,Æthelwald 16,Person
Æthelwald 18,Æthelwald 18,Person
Æthelwald 19,Æthelwald 19,Person
Æthelwald 20,Æthelwald 20,Person
Æthelwald 21,Æthelwald 21,Person
Æthelwald 22,Æthelwald 22,Person
Æthelwald 23,Æthelwald 23,Person
Æthelwald 24,Æthelwald 24,Person
Æthelwald 27,Æthelwald 27,Person
Æthelwald 28,Æthelwald 28,Person
Æthelwald 29,Æthelwald 29,Person
Æthelwald 30,Æthelwald 30,Person
Æthelwald 31,Æthelwald 31,Person
Æthelwald 32,Æthelwald 32,Person
Æthelwald 34,Æthelwald 34,Person
Æthelwald 35,Æthelwald 35,Person
Æthelwald 36,Æthelwald 36,Person
Æthelwald 4,Æthelwald 4,Person
Æthelweald 1,Æthelweald 1,Person
Æthelweald 2,Æthelweald 2,Person
Æthelweald 3,Æthelweald 3,Person
Æthelweard 14,Æthelweard 14,Person
Æthelweard 3,Æthelweard 3,Person
Æthelweard 4,Æthelweard 4,Person
Æthelwine 1,Æthelwine 1,Person
Æthelwine 11,Æthelwine 11,Person
Æthelwine 9,Æthelwine 9,Person
Æthelwulf 1,Æthelwulf 1,Person
Æthelwulf 10,Æthelwulf 10,Person
Æthelwulf 11,Æthelwulf 11,Person
Æthelwulf 13,Æthelwulf 13,Person
Æthelwulf 14,Æthelwulf 14,Person
Æthelwulf 16,Æthelwulf 16,Person
Æthelwulf 17,Æthelwulf 17,Person
Æthelwulf 20,Æthelwulf 20,Person
Æthelwulf 21,Æthelwulf 21,Person
Æthelwulf 22,Æthelwulf 22,Person
Æthelwulf 23,Æthelwulf 23,Person
Æthelwulf 24,Æthelwulf 24,Person
Æthelwulf 25,Æthelwulf 25,Person
Æthelwulf 3,Æthelwulf 3,Person
Æthelwulf 4,Æthelwulf 4,Person
Æthelwulf 6,Æthelwulf 6,Person
Æthelwulf 7,Æthelwulf 7,Person
Æthelwulf 8,Æthelwulf 8,Person
Æthelwulf 9,Æthelwulf 9,Person
Æthred 1,Æthred 1,Person
Æthulgils 1,Æthulgils 1,Person
Ætte 1,Ætte 1,Person
Agatho 2,Agatho 2,Person
Agesmund 1,Agesmund 1,Person
Agonwala 1,Agonwala 1,Person
Albinus 2,Albinus 2,Person
Alda 1,Alda 1,Person
Aldceorl 1,Aldceorl 1,Person
Aldhelm 3,Aldhelm 3,Person
Aldhelm 4,Aldhelm 4,Person
Aldhelm 5,Aldhelm 5,Person
Alfred 11,Alfred 11,Person
Alfred 12,Alfred 12,Person
Alfred 13,Alfred 13,Person
Alfred 14,Alfred 14,Person
Alfred 15,Alfred 15,Person
Alfred 17,Alfred 17,Person
Alfred 18,Alfred 18,Person
Alfred 23,Alfred 23,Person
Alfred 3,Alfred 3,Person
Alfred 4,Alfred 4,Person
Alfred 5,Alfred 5,Person
Alfred 6,Alfred 6,Person
Alfred 8,Alfred 8,Person
Alfred 9,Alfred 9,Person
Aloburg 1,Aloburg 1,Person
Alric 1,Alric 1,Person
Alric 2,Alric 2,Person
Alta 1,Alta 1,Person
Alwig 1,Alwig 1,Person
Alwine 1,Alwine 1,Person
Anonymi 1054,Anonymi 1054,Person
Anonymi 1055,Anonymi 1055,Person
Anonymi 1056,Anonymi 1056,Person
Anonymi 1057,Anonymi 1057,Person
Anonymi 1058,Anonymi 1058,Person
Anonymi 1059,Anonymi 1059,Person
Anonymi 1060,Anonymi 1060,Person
Anonymi 1061,Anonymi 1061,Person
Anonymi 1062,Anonymi 1062,Person
Anonymi 1063,Anonymi 1063,Person
Anonymi 1064,Anonymi 1064,Person
Anonymi 1065,Anonymi 1065,Person
Anonymi 1066,Anonymi 1066,Person
Anonymi 1067,Anonymi 1067,Person
Anonymi 1251,Anonymi 1251,Person
Anonymi 1252,Anonymi 1252,Person
Anonymi 1253,Anonymi 1253,Person
Anonymi 1254,Anonymi 1254,Person
Anonymi 1255,Anonymi 1255,Person
Anonymi 1256,Anonymi 1256,Person
Anonymi 1271,Anonymi 1271,Person
Anonymi 1272,Anonymi 1272,Person
Anonymi 1291,Anonymi 1291,Person
Anonymi 1292,Anonymi 1292,Person
Anonymi 1293,Anonymi 1293,Person
Anonymi 1294,Anonymi 1294,Person
Anonymi 1299,Anonymi 1299,Person
Anonymi 1300,Anonymi 1300,Person
Anonymi 1715,Anonymi 1715,Person
Anonymi 1716,Anonymi 1716,Person
Anonymi 1718,Anonymi 1718,Person
Anonymous 318,Anonymous 318,Person
Anonymous 320,Anonymous 320,Person
Anonymous 321,Anonymous 321,Person
Anonymous 322,Anonymous 322,Person
Anonymous 323,Anonymous 323,Person
Anonymous 434,Anonymous 434,Person
Anonymous 435,Anonymous 435,Person
Anonymous 436,Anonymous 436,Person
Anonymous 437,Anonymous 437,Person
Anonymous 438,Anonymous 438,Person
Anonymous 440,Anonymous 440,Person
Anonymous 447,Anonymous 447,Person
Anonymous 448,Anonymous 448,Person
Anonymous 466,Anonymous 466,Person
Anonymous 467,Anonymous 467,Person
Anonymous 469,Anonymous 469,Person
Anonymous 470,Anonymous 470,Person
Anonymous 471,Anonymous 471,Person
Anonymous 475,Anonymous 475,Person
Anonymous 476,Anonymous 476,Person
Anonymous 478,Anonymous 478,Person
Anonymous 479,Anonymous 479,Person
Anonymous 480,Anonymous 480,Person
Anonymous 481,Anonymous 481,Person
Anonymous 482,Anonymous 482,Person
Anonymous 483,Anonymous 483,Person
Anonymous 484,Anonymous 484,Person
Anonymous 485,Anonymous 485,Person
Anonymous 683,Anonymous 683,Person
Anonymous 684,Anonymous 684,Person
Anonymous 685,Anonymous 685,Person
Anonymous 686,Anonymous 686,Person
Anonymous 687,Anonymous 687,Person
Anonymous 688,Anonymous 688,Person
Anonymous 689,Anonymous 689,Person
Anonymous 897,Anonymous 897,Person
Anonymous 898,Anonymous 898,Person
Anonymous 899,Anonymous 899,Person
Ansith 1,Ansith 1,Person
Athulf 2,Athulf 2,Person
Athulf 5,Athulf 5,Person
Augemund 1,Augemund 1,Person
Augustine 1,Augustine 1,Person
Babba 1,Babba 1,Person
Babba 2,Babba 2,Person
Babba 3,Babba 3,Person
Bacola 1,Bacola 1,Person
Badaheard 1,Badaheard 1,Person
Badanoth 1,Badanoth 1,Person
Badanoth 2,Badanoth 2,Person
Badanoth 3,Badanoth 3,Person
Badoheard 1,Badoheard 1,Person
Badothin 1,Badothin 1,Person
Badunoth 1,Badunoth 1,Person
Baduwald 1,Baduwald 1,Person
Bægia 1,Bægia 1,Person
Bægloc 1,Bægloc 1,Person
Bægswyth 1,Bægswyth 1,Person
Baere 1,Baere 1,Person
Baldred 1,Baldred 1,Person
Baldred 2,Baldred 2,Person
Baldred 3,Baldred 3,Person
Baldred 4,Baldred 4,Person
Baldred 6,Baldred 6,Person
Baldred 7,Baldred 7,Person
Baldred 8,Baldred 8,Person
Baltheard 2,Baltheard 2,Person
Baltheard 3,Baltheard 3,Person
Baltheard 4,Baltheard 4,Person
Baltheard 5,Baltheard 5,Person
Balthere 2,Balthere 2,Person
Balthun 1,Balthun 1,Person
Balthun 2,Balthun 2,Person
Banta 1,Banta 1,Person
Banta 2,Banta 2,Person
Beadheard 1,Beadheard 1,Person
