Source,Target,Weight,Type,Sawyer,Birch,Kemble,Archive,TimeInterval
S22,Abba 2,1,Undirected,22,91,,"Canterbury, Christ Church","<[ 699, 900 ]>"
S266,Abba 4,1,Undirected,266,242,144,Rochester,"<[ 761, 900 ]>"
S1264,Abba 5,1,Undirected,1264,332,195,"Canterbury, Christ Church","<[ 821, 900 ]>"
S1266,Abba 5,1,Undirected,1266,381,1032,"Canterbury, Christ Church","<[ 824, 900 ]>"
S1268,Abba 5,1,Undirected,1268,380,225,"Canterbury, Christ Church","<[ 825, 900 ]>"
S1439,Abba 6,1,Undirected,1439,445,256,"Canterbury, Christ Church","<[ 844, 900 ]>"
S1482,Abba 7,1,Undirected,1482,412,235,"Canterbury, Christ Church","<[ 833, 900 ]>"
S1482,Abba 8,1,Undirected,1482,412,235,"Canterbury, Christ Church","<[ 833, 900 ]>"
S68,Abonis 1,1,Undirected,68,22,984,Peterborough,"<[ 664, 900 ]>"
S19,Acca 1,1,Undirected,19,97,43,"Canterbury, Christ Church","<[ 697, 900 ]>"
S21,Acca 1,1,Undirected,21,98,47,"Canterbury, Christ Church ex Lyminge","<[ 700, 900 ]>"
S22,Acca 2,1,Undirected,22,91,,"Canterbury, Christ Church","<[ 699, 900 ]>"
S79,Acca 2,1,Undirected,79,124,60,Evesham,"<[ 709, 900 ]>"
S81,Acca 2,1,Undirected,81,127,62,Evesham,"<[ 710, 900 ]>"
S248,Acca 2,1,Undirected,248,,,Glastonbury,"<[ 705, 900 ]>"
S1175,Acca 2,1,Undirected,1175,118,58,Evesham,"<[ 706, 900 ]>"
S1430a,Acca 2,1,Undirected,1430a,290,1018,"Canterbury, Christ Church","<[ 798, 900 ]>"
S265,Acca 4,1,Undirected,265,327,193,Bath,"<[ 757, 900 ]>"
S328,Acca 5,1,Undirected,328,496,281,"Canterbury, Christ Church","<[ 858, 900 ]>"
S337,Acca 5,1,Undirected,337,1210,1259,"London, St Paul's","<[ 867, 900 ]>"
S338,Acca 5,1,Undirected,338,516,294,"Canterbury, Christ Church","<[ 867, 900 ]>"
