card_id_a,card_id_b,card_id_c,image_id,location_id,description,street_number,street,city,county,latitude,longitude,notes
D32,379,0,1,1,Tampa Bay Hotel,,,Tampa,Hillsborough,27.946756,-82.464022,
D32,381,0,1,1,Church of the Sacred Heart,,,Tampa,Hillsborough,27.9102675,-82.5130815,
D32,383,0,1,1,First Congregational Church,,,Tampa,Hillsborough,27.949905,-82.45765,
D32,385,1,1,1,The Bay View Hotel,,,Tampa,Hillsborough,27.9466205,-82.4594572,
D32,385,2,1,1,The Bay View Hotel,,,Tampa,Hillsborough,27.9466205,-82.4594572,
D32,385,3,1,1,The Bay View Hotel,,,Tampa,Hillsborough,27.9466205,-82.4594572,
D32,387,1,1,1,New City Hall,,,Tampa,Hillsborough,27.947222,-82.4575,
D32,387,2,1,1,New City Hall,,,Tampa,Hillsborough,27.947222,-82.4575,
D32,387,3,1,1,New City Hall,,,Tampa,Hillsborough,27.947222,-82.4575,
D32,389,0,1,1,Stovall Office Building,416,Tampa Street,Tampa,Hillsborough,27.9477211,-82.4589287,
D32,391,0,1,1,TAMPA ALLIGATOR FARM,,,Sulphur Springs,Hillsborough,28.020833,-82.451389,"near the intersection of N. Florida Ave., Waters Ave. and Bird St."
D32,393,1,1,1,The Bridge at Sulphur Springs,,,Sulphur Springs,Hillsborough,28.020833,-82.451389,"near the intersection of N. Florida Ave., Waters Ave. and Bird St."
D32,393,2,1,1,The Bridge at Sulphur Springs,,,Sulphur Springs,Hillsborough,28.020833,-82.451389,"near the intersection of N. Florida Ave., Waters Ave. and Bird St."
D32,397,0,1,1,Davis Islands,,,Davis Island,Hillsborough,27.921944,-82.455556,
D32,401,1,1,1,Sulphur Springs,,,Sulphur Springs,Hillsborough,28.020833,-82.451389,"near the intersection of N. Florida Ave., Waters Ave. and Bird St."
D32,401,2,1,1,Sulphur Springs,,,Sulphur Springs,Hillsborough,28.020833,-82.451389,"near the intersection of N. Florida Ave., Waters Ave. and Bird St."
D32,401,0,1,1,Sulphur Springs,,,Sulphur Springs,Hillsborough,28.020833,-82.451389,"near the intersection of N. Florida Ave., Waters Ave. and Bird St."
D32,402,0,1,1,Sulphur Springs,,,Sulphur Springs,Hillsborough,28.020833,-82.451389,"near the intersection of N. Florida Ave., Waters Ave. and Bird St."
D32,405,0,1,1,Tampa Bay Hotel,,,Tampa,Hillsborough,27.946538,-82.464194,
D32,407,1,1,1,Tampa Bay Hotel and Plant Park,,West Kennedy Boulevard,Tampa,Hillsborough,27.9466288,-82.46269,
D32,407,2,1,1,Tampa Bay Hotel and Plant Park,,West Kennedy Boulevard,Tampa,Hillsborough,27.9466288,-82.46269,
D32,407,3,1,1,Tampa Bay Hotel and Plant Park,,West Kennedy Boulevard,Tampa,Hillsborough,27.9466288,-82.46269,
D32,409,1,1,1,The Dam at Sulphur Springs,,,Sulphur Springs,Hillsborough,28.020833,-82.451389,"near the intersection of N. Florida Ave., Waters Ave. and Bird St."
